Country,HAP.SCORE,EXP.GDP.PER.CAPITA,EXP.SOC.SUPP,EXP.HEAL.LIFE,EXP.FREE.LIFE,EXP.GEN,EXP.TRUST
Finland,7.769,1.340,1.587,0.986,0.596,0.153,0.393
Denmark,7.600,1.383,1.573,0.996,0.592,0.252,0.410
Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,7.494,1.380,1.624,1.026,0.591,0.354,0.118
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,7.480,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,7.307,1.303,1.557,1.026,0.585,0.330,0.380
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.290
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,7.090,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,7.054,1.333,1.538,0.996,0.450,0.348,0.278
Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.310
Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,6.923,1.356,1.504,0.986,0.473,0.160,0.210
United States,6.892,1.433,1.457,0.874,0.454,0.280,0.128
Czech Republic,6.852,1.269,1.487,0.920,0.457,0.046,0.036
United Arab Emirates,6.825,1.503,1.310,0.825,0.598,0.262,0.182
Malta,6.726,1.300,1.520,0.999,0.564,0.375,0.151
Mexico,6.595,1.070,1.323,0.861,0.433,0.074,0.073
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan,6.446,1.368,1.430,0.914,0.351,0.242,0.097
Chile,6.444,1.159,1.369,0.920,0.357,0.187,0.056
Guatemala,6.436,0.800,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.080,0.132
Qatar,6.374,1.684,1.313,0.871,0.555,0.220,0.167
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,6.321,1.149,1.442,0.910,0.516,0.109,0.054
Brazil,6.300,1.004,1.439,0.802,0.390,0.099,0.086
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.150
Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,6.253,0.794,1.242,0.789,0.430,0.093,0.074
Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.030
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.110
Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.050
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.240
Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,6.125,0.985,1.410,0.841,0.470,0.099,0.034
Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.200,0.127
Kosovo,6.100,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.050
Romania,6.070,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,6.046,1.263,1.223,1.042,0.406,0.190,0.041
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,6.021,1.500,1.319,0.808,0.493,0.142,0.097
Thailand,6.008,1.050,1.409,0.828,0.557,0.359,0.028
Latvia,5.940,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,5.890,0.831,1.478,0.831,0.490,0.107,0.028
Mauritius,5.888,1.120,1.402,0.798,0.498,0.215,0.060
Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.140
Honduras,5.860,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,5.809,1.173,1.508,0.729,0.410,0.146,0.096
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,5.758,1.201,1.410,0.828,0.199,0.081,0.020
Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.080
Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
Peru,5.697,0.960,1.274,0.854,0.455,0.083,0.027
Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,5.653,0.677,0.886,0.535,0.313,0.220,0.098
Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.000
Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.080
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.230,0.144
Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong,5.430,1.438,1.277,1.122,0.440,0.258,0.287
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,5.373,1.183,1.360,0.808,0.195,0.083,0.106
Malaysia,5.339,1.221,1.171,0.828,0.508,0.260,0.024
Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,5.287,1.181,1.156,0.999,0.067,0.000,0.034
Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.300,0.023
